LGA_CODE,STATE,AGE_5_9_2024,AGE_10_14_2024,AGE_5_14_2024,AGE_5_14_SHARE_TOTAL_PCT,AGE_5_14_2019,AGE_5_14_CHANGE_5Y,AGE_5_14_GROWTH_5Y_PCT,GIRLS_5_14_2024,GIRLS_SHARE_OF_5_14_PCT,GIRLS_5_14_2019,GIRLS_5_14_CHANGE_5Y,GIRLS_5_14_GROWTH_5Y_PCT
18450,New South Wales,12474,12956,25430,11.444438443952404,25880,-450,-1.7387944358578051,12296,48.35233975619347,12605,-309,-2.4514081713605713
18500,New South Wales,2480,2889,5369,9.726096880547805,5868,-499,-8.503749147920928,2650,49.35742223877817,2956,-306,-10.351826792963465
18710,New South Wales,1103,1288,2391,13.620051267445172,2494,-103,-4.1299117882919,1174,49.10079464659138,1196,-22,-1.839464882943144
19399,New South Wales,52,81,133,13.47517730496454,128,5,3.90625,70,52.63157894736842,55,15,27.27272727272727
20110,Victoria,618,748,1366,10.41555470834922,1502,-136,-9.054593874833555,645,47.218155197657396,728,-83,-11.401098901098901
20260,Victoria,636,609,1245,10.70967741935484,1243,2,0.16090104585679807,594,47.71084337349398,611,-17,-2.7823240589198037
20570,Victoria,7578,7878,15456,12.820278867608389,14220,1236,8.691983122362869,7520,48.65424430641822,6900,620,8.985507246376812
20660,Victoria,7712,7992,15704,11.945839038490796,15692,12,0.07647208768799389,7754,49.37595517065716,7647,107,1.3992415326271739
20740,Victoria,2218,2330,4548,10.462869237139966,4101,447,10.899780541331383,2228,48.98856640281443,2006,222,11.06679960119641
20830,Victoria,3826,3888,7714,12.483614648908452,7077,637,9.000989119683481,3735,48.41845994296085,3446,289,8.386535113174695
20910,Victoria,5830,7154,12984,12.268385097275896,14030,-1046,-7.455452601568069,6361,48.99106592729513,6978,-617,-8.8420750931499
21010,Victoria,660,735,1395,9.58631115997801,1512,-117,-7.738095238095238,709,50.82437275985663,718,-9,-1.2534818941504178
21110,Victoria,8748,10992,19740,11.13084665482534,21988,-2248,-10.223758413680189,9581,48.535967578520776,10696,-1115,-10.424457741211668
21180,Victoria,10829,11077,21906,11.091757891219151,24185,-2279,-9.42319619598925,10495,47.909248607687395,11700,-1205,-10.299145299145298
21270,Victoria,259,290,549,9.272082418510387,704,-155,-22.017045454545457,252,45.90163934426229,324,-72,-22.22222222222222
21370,Victoria,2013,2365,4378,11.525905644481888,4774,-396,-8.294930875576037,2134,48.743718592964825,2307,-173,-7.498916341569137
21450,Victoria,9871,9365,19236,14.786572476189743,16695,2541,15.220125786163521,9466,49.20981493033894,8137,1329,16.33280078653066
21610,Victoria,30890,29463,60353,14.931174049004472,52428,7925,15.115968566414892,29468,48.82607326893444,25600,3868,15.109375
21670,Victoria,611,778,1389,10.152024557813185,1483,-94,-6.33850303438975,661,47.58819294456443,698,-37,-5.300859598853868
21750,Victoria,1238,1304,2542,11.446325648414986,2590,-48,-1.8532818532818531,1214,47.75767112509835,1225,-11,-0.8979591836734694
21830,Victoria,800,974,1774,11.257059458087442,2069,-295,-14.258095698405027,852,48.02705749718152,976,-124,-12.704918032786885
21890,Victoria,7377,7164,14541,9.130983554056854,15674,-1133,-7.228531325762409,7160,49.24007977443092,7590,-430,-5.665349143610013
22110,Victoria,2513,2625,5138,10.44669906268426,5160,-22,-0.4263565891472868,2529,49.22148695990658,2568,-39,-1.5186915887850467
22170,Victoria,8690,8636,17326,12.007678926613579,17608,-282,-1.6015447523852793,8359,48.24541152025857,8554,-195,-2.2796352583586628
22250,Victoria,541,592,1133,10.959566647320566,1181,-48,-4.064352243861134,566,49.9558693733451,564,2,0.3546099290780142
22310,Victoria,8848,9679,18527,11.540857388465994,19270,-743,-3.8557343020238712,9148,49.37658552383009,9442,-294,-3.1137470874814657
22410,Victoria,972,1165,2137,10.73437813944143,2192,-55,-2.509124087591241,1058,49.508656995788485,1066,-8,-0.7504690431519699
22490,Victoria,1938,2038,3976,15.165732158523095,3848,128,3.3264033264033266,1902,47.83702213279678,1824,78,4.276315789473684
22620,Victoria,7671,8054,15725,12.550581437111411,15337,388,2.529829823303123,7614,48.41971383147854,7380,234,3.1707317073170733
22670,Victoria,9535,9043,18578,11.141429830821544,18578,0,0.0,9036,48.63817418451932,9004,32,0.3553976010661928
22750,Victoria,16767,16991,33758,11.694079175269161,31134,2624,8.428085051711955,16489,48.84471828899816,15172,1317,8.680464012654891
22830,Victoria,4376,4649,9025,12.996083174932318,9096,-71,-0.7805628847845206,4403,48.78670360110803,4339,64,1.4749942383037566
22910,Victoria,723,844,1567,9.317952072307783,1734,-167,-9.630911188004614,750,47.86215698787492,863,-113,-13.093858632676708
22980,Victoria,263,277,540,9.930121368150054,588,-48,-8.16326530612245,275,50.92592592592593,290,-15,-5.172413793103448
23110,Victoria,5858,5601,11459,12.021106961520708,11529,-70,-0.607164541590771,5661,49.40221659830701,5754,-93,-1.616266944734098
23190,Victoria,1293,1238,2531,12.488281442739428,2591,-60,-2.3157082207641837,1184,46.779928881864876,1238,-54,-4.361873990306947
